entityId,TTrvD,TTrvAS,x_center,y_center,radius,numStayPointsVisits,avgTimeVisit,num_travels,avg_travel_time,avg_travel_distance,avg_travel_avg_speed
137,36718.495,4.7075,433665.74607,6466944.85141,10449.37691,13,271.38461538461536,14,40.214285714285715,9.275396729159084,1.5711730940773445
138,36927.52781,4.7343,433674.48239,6467702.45717,10244.68637,13,267.9230769230769,14,40.214285714285715,10.789401213737372,2.5341797034637543
139,24729.4284,3.17044,436720.87047,6461515.04155,7520.31847,12,398.6666666666667,14,40.214285714285715,91.48488340396364,3.051254248204047
140,24847.63272,3.18559,436660.10324,6461664.4281,7502.97147,13,367.7692307692308,14,40.214285714285715,91.87075729598742,3.501269737321413
141,36787.02517,4.71629,433720.96293,6466760.31141,10469.32377,14,253.21428571428572,13,43.23076923076923,10.349945252442195,1.305875333048274
142,36775.35548,4.71479,433693.13802,6466845.52763,10455.90733,13,270.46153846153845,14,40.214285714285715,9.958668662304044,1.6252748670677328
143,25496.5171,3.26878,437044.8494,6460223.31615,7542.9595,23,213.43478260869566,14,40.214285714285715,96.8113195887429,3.51836975286308
144,25495.28812,3.26863,436921.59568,6460483.83176,7580.21269,24,202.41666666666666,14,40.214285714285715,97.95507261325655,3.1251862652109987
145,25511.24977,3.27067,436905.63243,6460619.71577,7536.84478,27,179.77777777777777,14,40.214285714285715,94.7271942030019,3.267961634937554
146,25502.37898,3.26954,437047.5335,6460285.79749,7467.47407,20,243.2,14,40.214285714285715,94.98240965230575,3.4105068120435993
147,25513.53556,3.27097,437079.91882,6460153.58795,7443.32536,22,223.95454545454547,14,40.214285714285715,92.41419686833164,3.4225360840373904
148,25500.46992,3.26929,436938.14335,6460569.50768,7461.3196,24,203.5,14,40.214285714285715,99.75306315948087,3.4506654744228453
149,25488.19634,3.26772,436991.30225,6460407.788,7495.77119,22,219.3181818181818,14,40.214285714285715,93.8525944859397,3.296226752541547
150,25600.78669,3.28215,436800.92894,6460809.3628,7617.86207,29,166.24137931034483,14,40.214285714285715,91.23551279585949,3.4935791527489357
151,37050.27984,4.75004,433764.90929,6467196.87152,10386.33645,17,207.35294117647058,14,40.214285714285715,9.963841107184834,1.9281993655027523
152,37094.9976,4.75577,433730.58778,6467623.90032,10258.01542,15,232.26666666666668,14,40.214285714285715,10.137619620126557,1.9239572529902524
153,37151.82786,4.76305,433700.87316,6467945.54632,10170.63358,7,471.85714285714283,14,40.214285714285715,9.797960564154648,1.8153280635897773
154,37112.86355,4.75806,433658.82062,6468130.34314,10080.52649,6,560.3333333333334,14,40.214285714285715,9.567682536243295,1.2372540410801054
155,37011.7006,4.74509,433629.75257,6468227.3333,10051.93091,6,565.8333333333334,14,40.214285714285715,9.563993655044673,1.246436855441802
156,36994.5787,4.74289,433583.83146,6468301.50873,10022.84031,6,567.8333333333334,14,40.214285714285715,9.40310904469384,1.2384319812137095
157,36964.41558,4.73903,433612.43809,6468047.87394,10121.51029,10,344.9,14,40.214285714285715,10.211789772451224,1.9022121234899732
158,52816.4075,6.77133,433059.55446,6463206.71664,8940.7227,17,26.764705882352942,15,36.0,252.91923308408488,6.596863462298056
159,54954.19603,7.04541,434757.36583,6461299.10246,9787.43837,10,25.6,16,36.75,254.75311517930902,6.770097356140846
160,53818.99526,6.89987,431889.5118,6460995.1164,10106.21514,14,24.5,20,31.6,208.36839091131824,7.073015620543849
161,52909.40168,6.78326,437067.66172,6461597.76718,9259.48462,19,25.42105263157895,21,29.857142857142858,204.18560453847272,6.665706192585824
162,54736.88708,7.01755,435591.3481,6460099.82818,10739.88447,8,22.75,23,29.52173913043478,184.33500544774185,5.886637491619598
163,54956.42623,7.0457,433335.04106,6459312.77699,10419.20506,8,24.375,23,29.391304347826086,205.7235889008443,6.972118644897089
164,54974.01879,7.04795,430369.28075,6461583.96276,10073.33554,15,23.866666666666667,24,26.375,175.6342891391907,6.452141737602722
165,54273.74766,6.95817,432552.04007,6460229.28838,10138.33995,9,23.666666666666668,25,24.72,183.27372847870163,7.383044486472057
166,55607.49271,7.12917,433190.45029,6460724.94108,9684.98192,17,22.941176470588236,27,27.074074074074073,185.80294294292585,6.810126349802489
167,55094.15448,7.06335,432626.28159,6459640.11248,10413.77864,9,24.0,29,27.413793103448278,191.36752216978243,6.702214391094142
168,55146.06208,7.07001,431575.66803,6459633.85613,10527.25047,12,24.75,30,25.033333333333335,180.52939246856894,7.1137163101003145
169,54468.03856,6.98308,434461.44096,6460424.89844,10099.04347,12,23.25,32,22.0,159.82427182802314,6.979753554239016
170,55352.17921,7.09643,431994.02824,6459628.62573,10473.76891,10,24.5,33,21.87878787878788,159.00279528250456,7.196926523535088
171,54001.81523,6.92331,430674.08544,6462063.61334,8800.01806,13,25.923076923076923,34,21.88235294117647,165.55758303355663,7.327189714521366
172,54557.3971,6.99454,434035.17349,6461888.30513,9389.47335,15,23.733333333333334,35,21.2,144.58075323832605,6.843936692227094
173,56269.72793,7.21407,433099.26324,6459939.88455,10377.95392,10,25.8,35,21.0,155.3433252614958,7.355309136762924
174,53412.70318,6.84778,435207.77821,6461513.57345,9841.37662,11,25.181818181818183,36,20.11111111111111,142.06627980663188,6.907828113193379
175,54984.73279,7.04932,435185.54156,6460052.45316,10655.40988,13,22.46153846153846,36,20.0,141.63275876035834,6.9193048987704735
176,53336.08363,6.83796,434196.18725,6461111.5551,9345.91746,12,23.75,36,19.88888888888889,135.6434882376433,6.83592313617083
177,52725.72766,6.75971,432961.13656,6461667.30776,9505.48458,15,25.466666666666665,36,20.11111111111111,135.60389528906546,6.553607785230335
178,54417.11635,6.97655,434634.99309,6459583.07154,10420.13307,13,22.076923076923077,37,20.027027027027028,141.1516470151674,6.913075576171758
179,55186.79506,7.07523,432649.44412,6461070.33152,9946.69228,18,25.72222222222222,38,19.81578947368421,133.18170115869938,6.807425121894749
180,55646.01495,7.1341,437428.00322,6461111.57787,10298.73283,10,24.0,37,20.2972972972973,149.97958272283506,7.432144701493999
181,55576.64016,7.12521,433581.26979,6460090.62113,9881.27285,10,24.5,37,20.10810810810811,136.9041415186887,7.0358692334564745
182,54451.43261,6.98095,435762.14096,6459412.06073,11177.7497,8,23.875,37,20.054054054054053,134.96859033962582,6.395310987037182
183,55723.80393,7.14408,431729.71737,6459986.6761,10755.28141,12,22.583333333333332,37,20.027027027027028,141.40663791500083,7.115923484511684
184,55500.46538,7.11544,433546.52914,6459191.80603,11202.88014,5,25.4,37,19.135135135135137,129.42001156546792,6.899302908738937
185,52552.96116,6.73756,434417.67562,6460671.0862,10055.91934,18,22.944444444444443,37,19.054054054054053,122.71815619513833,6.295879249866593
186,55079.04148,7.06142,433708.93101,6461253.7209,9866.88948,19,23.263157894736842,37,19.054054054054053,136.8176015501607,7.030238113318563
187,55050.51589,7.05776,430737.5834,6461282.7564,10230.25365,5,26.2,37,19.054054054054053,135.65099364064764,7.285076906458164
188,55173.65734,7.07355,437338.68679,6459338.73203,10262.63094,10,25.2,36,19.27777777777778,145.07634714872245,7.3808258749933815
189,54444.32796,6.98004,432636.68351,6462173.85499,9602.96176,11,23.636363636363637,36,19.47222222222222,126.53454975336666,6.588489345589
190,54118.0853,6.93822,437201.56909,6461145.00696,10167.5456,9,22.77777777777778,36,19.47222222222222,132.16570831612975,6.657544423693015
191,54577.51416,6.99712,434282.52004,6460164.92992,10475.13773,14,22.857142857142858,36,19.305555555555557,137.22198653754015,7.121762057908389
192,56287.86631,7.21639,432773.29875,6460189.6323,10636.39866,13,25.0,38,18.526315789473685,131.46417955377862,7.045211323686636
193,56244.55829,7.21084,435066.31679,6459122.53404,10767.15854,12,25.166666666666668,38,18.68421052631579,144.71253782700077,7.346673547898024
194,54254.13581,6.95566,435727.15832,6460948.32265,10536.92613,17,23.941176470588236,38,18.63157894736842,122.15518171370384,6.8417618443899615
195,54639.89064,7.00511,435037.99322,6461496.11713,9852.33702,8,24.75,38,18.63157894736842,130.44639940050638,6.96333032214422
196,54610.30213,7.00132,435769.7745,6459882.9039,10854.5151,10,25.0,38,18.63157894736842,131.16805774214157,6.932106774730302
197,53260.41395,6.82826,431421.1924,6461949.63306,9537.55679,15,25.533333333333335,39,17.128205128205128,110.32296513611186,6.382775309038464
198,54938.57392,7.04341,437287.89635,6461696.57041,9622.4735,12,23.75,39,17.128205128205128,118.00910347710386,7.0962287941926645
199,55262.4474,7.08493,433822.23774,6460843.2098,9962.75146,9,23.444444444444443,39,17.05128205128205,110.66779060676666,6.518479395106793
200,55323.64223,7.09277,431758.36371,6460379.99198,10030.21648,8,25.25,39,17.05128205128205,123.56106153083005,7.2973000260448275
201,55950.30294,7.17312,435646.4417,6459710.41969,9737.93024,19,22.42105263157895,40,16.65,116.53380730388628,7.10924198404165
202,54950.80175,7.04497,433876.82168,6460109.56943,9879.02317,13,25.384615384615383,40,16.575,123.70153491259305,7.461945338105845
203,54890.66931,7.03727,431110.26323,6460253.4365,10196.00137,9,23.77777777777778,40,16.575,114.49042886367336,6.892425054840037
204,55139.62629,7.06918,432650.97944,6460334.96296,10720.54907,8,24.5,40,16.575,111.23009394487619,6.844787477680837
